ESN,Cycles_Since_New,Snapshot,Cumulative_WWs,Cumulative_HPC_SVs,Cumulative_HPT_SVs,Sensed_Altitude,Sensed_Mach,Sensed_Pamb,Sensed_Pt2,Sensed_TAT,Sensed_WFuel,Sensed_VAFN,Sensed_VBV,Sensed_Fan_Speed,Sensed_Core_Speed,Sensed_T25,Sensed_T3,Sensed_Ps3,Sensed_T45,Sensed_P25,Sensed_T5,Cycles_to_WW,Cycles_to_HPC_SV,Cycles_to_HPT_SV
101,0,1,0,0,0,851.3215158873453,0.10322396895753955,14.2504748711415,14.289458715934092,535.4063064064308,1.211454567348215,6228.393354610889,0.0,1900.287777714197,21261.365606656167,744.0091960289611,1609.417020977395,474.15886197290456,2173.31657523004,40.06580977518913,1415.4774704986303,910,8510,4090
101,0,2,0,0,0,903.3215158873453,0.21366297147142504,14.224852581345372,14.628042051764245,537.3032132343145,1.2311283386900795,5859.3403443539155,0.0,1903.0088367626568,21280.040466025777,747.3184903802284,1612.1480513404013,483.1902989996034,2172.105766012276,41.152081051323265,1409.6439674529424,910,8510,4090
101,0,3,0,0,0,3410.3215158873454,0.34533296964037036,12.989562571366609,14.05573264474924,531.7506581872698,1.095965825724016,5350.679994466444,0.0,1851.6198750560325,21014.282876190115,735.7301801560586,1576.0313532289322,442.4215268086422,2106.4636858308936,38.75824922609545,1365.4124950557184,910,8510,4090
101,0,4,0,0,0,20259.321515887346,0.6190049841152391,6.679795796189585,8.621275361269552,499.1295074073054,0.6855678620746349,4608.368473380343,0.0,1860.7800166229247,20466.46611476125,706.2936181223265,1504.8111223436254,283.988928117884,2016.9699602305145,25.574966994214453,1256.6895396015184,910,8510,4090
101,0,6,0,0,0,21991.321515887346,0.6404249860988817,6.23095531422731,8.18375509939167,496.28188369857344,0.6230992739475645,4553.01684641689,0.0,1828.9224759408298,20313.50165700077,699.6504832121146,1484.6298565407237,261.54391496715914,1984.3700255413282,23.927579259021304,1238.6654082263833,910,8510,4090
101,0,7,0,0,0,21997.321515887346,0.641621966575261,6.229400439578479,8.18982925678882,495.9362948473924,0.4889704480833918,4394.261887629225,0.008245408519417009,1664.7703273749403,19760.214982889327,675.2953986532127,1410.7706740576941,217.5643165501951,1855.815477303506,21.145655809310803,1194.0183859538936,910,8510,4090
101,0,8,0,0,0,21996.321515887346,0.5960729911075792,6.229659585353286,7.895757364457935,489.81053552520206,0.42079337982575393,4382.719938029443,0.03038797441985749,1576.5784007128432,19372.338520775505,653.3746643388511,1360.862801029283,192.29018518668062,1785.1202309735195,19.028976213366096,1173.4509966842922,910,8510,4090
101,10,1,0,0,0,883.3215158873453,0.10278296909200763,14.234707308190037,14.27270641855971,542.6097469922291,1.211839541622502,6237.163360012758,0.0,1907.2196614824982,21383.342723423124,753.1758862704538,1626.3642403221468,470.8478218017894,2196.7483041227965,39.881530361463206,1434.0154941012672,900,8500,4080
101,10,2,0,0,0,967.3215158873453,0.22468796810972308,14.193317455442445,14.644415037122037,548.2652822844384,1.2395270848646809,5819.510201817036,0.0,1917.1332205292233,21474.670553722102,761.8652279624358,1639.115978980699,480.88637113756556,2209.3436031784863,41.09586813247917,1437.0988646756111,900,8500,4080
101,10,3,0,0,0,3425.3215158873454,0.3574919595466814,12.98217152623311,14.131519450820536,545.0862705284121,1.1414340981493674,5304.106359816668,0.0,1890.8665172737904,21318.781076751715,756.5461018978476,1617.8842211820129,451.09811376292276,2167.869310460669,39.42806599663158,1403.26590157927,900,8500,4080
